question,correct_answer
What is 5 plus 2?,7
What is 3 plus 7?,10
What is 3 plus 2?,5
What is 4 plus 4?,8
What is 6 plus 9?,15
What is 8 plus 3?,11
What is 7 plus 4?,11
What is 8 plus 7?,15
What is 4 plus 9?,13
What is 3 plus 5?,8
What is 4 plus 1?,5
What is 8 plus 8?,16
What is 1 plus 4?,5
What is 8 plus 6?,14
What is 9 plus 4?,13
What is 5 plus 5?,10
What is 7 plus 9?,16
What is 1 plus 3?,4
What is 2 plus 1?,3
What is 7 plus 8?,15
What is 3 plus 3?,6
What is 6 plus 1?,7
What is 9 plus 5?,14
What is 5 plus 6?,11
What is 3 plus 9?,12
What is 6 plus 3?,9
What is 5 plus 4?,9
What is 3 plus 4?,7
What is 5 plus 4?,9
What is 1 plus 4?,5
What is 9 plus 5?,14
What is 4 plus 5?,9
What is 9 plus 1?,10
What is 9 plus 2?,11
What is 7 plus 2?,9
What is 8 plus 3?,11
What is 5 plus 6?,11
What is 6 plus 4?,10
What is 9 plus 6?,15
What is 1 plus 8?,9
What is 5 plus 9?,14
What is 4 plus 8?,12
What is 3 plus 5?,8
What is 2 plus 1?,3
What is 5 plus 3?,8
What is 9 plus 3?,12
What is 4 plus 5?,9
What is 4 plus 8?,12
What is 5 plus 2?,7
What is 4 plus 3?,7
What is 3 plus 3?,6
What is 1 plus 4?,5
What is 4 plus 2?,6
What is 3 plus 4?,7
What is 3 plus 7?,10
What is 1 plus 2?,3
What is 3 plus 2?,5
What is 9 plus 8?,17
What is 1 plus 1?,2
What is 4 plus 4?,8
What is 2 plus 8?,10
What is 6 plus 5?,11
What is 6 plus 2?,8
What is 2 plus 5?,7
What is 5 plus 7?,12
What is 2 plus 9?,11
What is 9 plus 7?,16
What is 4 plus 5?,9
What is 8 plus 2?,10
What is 1 plus 6?,7
What is 3 plus 1?,4
What is 7 plus 8?,15
What is 3 plus 6?,9
What is 7 plus 3?,10
What is 9 plus 2?,11
What is 2 plus 8?,10
What is 5 plus 4?,9
What is 1 plus 4?,5
What is 9 plus 9?,18
What is 7 plus 6?,13
What is 9 plus 6?,15
What is 8 plus 1?,9
What is 3 plus 9?,12
What is 4 plus 4?,8
What is 8 plus 8?,16
What is 6 plus 7?,13
What is 8 plus 8?,16
What is 2 plus 2?,4
What is 1 plus 4?,5
What is 3 plus 9?,12
What is 2 plus 8?,10
What is 7 plus 6?,13
What is 2 plus 9?,11
What is 7 plus 2?,9
What is 4 plus 6?,10
What is 7 plus 4?,11
What is 5 plus 2?,7
What is 8 plus 3?,11
What is 1 plus 1?,2
What is 8 plus 2?,10
What is 5 plus 5?,10
What is 7 plus 3?,10
What is 8 plus 2?,10
What is 3 plus 9?,12
What is 5 plus 4?,9
What is 9 plus 7?,16
What is 8 plus 9?,17
What is 1 plus 5?,6
What is 6 plus 6?,12
What is 1 plus 5?,6
What is 3 plus 2?,5
What is 7 plus 5?,12
What is 1 plus 8?,9
What is 1 plus 2?,3
What is 1 plus 8?,9
What is 1 plus 8?,9
What is 7 plus 1?,8
What is 9 plus 3?,12
What is 4 plus 2?,6
What is 5 plus 4?,9
What is 4 plus 7?,11
What is 8 plus 4?,12
What is 5 plus 1?,6
What is 2 plus 1?,3
What is 9 plus 5?,14
What is 1 plus 2?,3
What is 5 plus 3?,8
What is 4 plus 6?,10
What is 6 plus 3?,9
What is 3 plus 4?,7
What is 7 plus 5?,12
What is 9 plus 8?,17
What is 4 plus 4?,8
What is 5 plus 5?,10
What is 9 plus 6?,15
What is 2 plus 6?,8
What is 3 plus 2?,5
What is 4 plus 9?,13
What is 5 plus 4?,9
What is 6 plus 7?,13
What is 7 plus 1?,8
What is 4 plus 4?,8
What is 6 plus 1?,7
What is 6 plus 3?,9
What is 5 plus 9?,14
What is 1 plus 9?,10
What is 9 plus 9?,18
What is 6 plus 8?,14
What is 7 plus 4?,11
What is 8 plus 7?,15
What is 6 plus 1?,7
What is 6 plus 7?,13
What is 4 plus 5?,9
What is 5 plus 2?,7
What is 1 plus 2?,3
What is 1 plus 2?,3
What is 5 plus 7?,12
What is 4 plus 7?,11
What is 7 plus 3?,10
What is 8 plus 4?,12
What is 4 plus 8?,12
What is 9 plus 9?,18
What is 7 plus 5?,12
What is 9 plus 3?,12
What is 1 plus 9?,10
What is 7 plus 9?,16
What is 5 plus 9?,14
What is 9 plus 4?,13
What is 5 plus 4?,9
What is 6 plus 3?,9
What is 7 plus 8?,15
What is 3 plus 7?,10
What is 7 plus 4?,11
What is 9 plus 1?,10
What is 6 plus 8?,14
What is 9 plus 5?,14
What is 1 plus 7?,8
What is 2 plus 8?,10
What is 6 plus 7?,13
What is 8 plus 2?,10
What is 7 plus 3?,10
What is 1 plus 7?,8
What is 1 plus 5?,6
What is 7 plus 2?,9
What is 7 plus 6?,13
What is 8 plus 5?,13
What is 9 plus 2?,11
What is 1 plus 3?,4
What is 8 plus 2?,10
What is 7 plus 1?,8
What is 3 plus 2?,5
What is 3 plus 2?,5
What is 2 plus 8?,10
What is 7 plus 9?,16
What is 1 plus 7?,8
What is 9 plus 7?,16
What is 1 plus 1?,2
What is 1 plus 9?,10
What is 8 plus 7?,15
What is 7 plus 9?,16
What is 69 plus 77?,146
What is 52 plus 19?,71
What is 74 plus 46?,120
What is 59 plus 67?,126
What is 88 plus 95?,183
What is 35 plus 72?,107
What is 44 plus 40?,84
What is 12 plus 28?,40
What is 99 plus 86?,185
What is 95 plus 34?,129
What is 64 plus 47?,111
What is 45 plus 81?,126
What is 35 plus 88?,123
What is 45 plus 65?,110
