model_id_train,dataset_id_train,prompt_id_train,subset_id_train,input_type_train,model_id_test,dataset_id_test,prompt_id_test,subset_id_test,input_type_test,layer,fold,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__classifier_cut,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__optimal_train_set_cut,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_roc_auc,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_accuracy_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_accuracy_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_f1_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_f1_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_precision_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_precision_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__train_recall_score,direction__center_from_origin_False__classifier_cut_optimal_train_set_cut__test_recall_score,direction__center_from_origin_False__classifier_cut_zero__classifier_cut,direction__center_from_origin_False__classifier_cut_zero__optimal_train_set_cut,direction__center_from_origin_False__classifier_cut_zero__test_roc_auc,direction__center_from_origin_False__classifier_cut_zero__train_accuracy_score,direction__center_from_origin_False__classifier_cut_zero__test_accuracy_score,direction__center_from_origin_False__classifier_cut_zero__train_f1_score,direction__center_from_origin_False__classifier_cut_zero__test_f1_score,direction__center_from_origin_False__classifier_cut_zero__train_precision_score,direction__center_from_origin_False__classifier_cut_zero__test_precision_score,direction__center_from_origin_False__classifier_cut_zero__train_recall_score,direction__center_from_origin_False__classifier_cut_zero__test_recall_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__classifier_cut,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__optimal_train_set_cut,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_roc_auc,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_accuracy_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_accuracy_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_f1_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_f1_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_precision_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_precision_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__train_recall_score,direction__center_from_origin_True__classifier_cut_optimal_train_set_cut__test_recall_score,direction__center_from_origin_True__classifier_cut_zero__classifier_cut,direction__center_from_origin_True__classifier_cut_zero__optimal_train_set_cut,direction__center_from_origin_True__classifier_cut_zero__test_roc_auc,direction__center_from_origin_True__classifier_cut_zero__train_accuracy_score,direction__center_from_origin_True__classifier_cut_zero__test_accuracy_score,direction__center_from_origin_True__classifier_cut_zero__train_f1_score,direction__center_from_origin_True__classifier_cut_zero__test_f1_score,direction__center_from_origin_True__classifier_cut_zero__train_precision_score,direction__center_from_origin_True__classifier_cut_zero__test_precision_score,direction__center_from_origin_True__classifier_cut_zero__train_recall_score,direction__center_from_origin_True__classifier_cut_zero__test_recall_score
qwen_2.5_7b_instruct,birth_years_4k,base,main,prompt_only,qwen_2.5_7b_instruct,birth_years_4k,base,main,prompt_only,22,0,4.96306037902832,4.96306037902832,0.8839681707230218,0.8104508196721312,0.8053435114503816,0.805331462644686,0.8025806451612904,0.8276856524873828,0.8141361256544503,0.7841530054644809,0.7913486005089059,0.0,4.96306037902832,0.8839681707230218,0.7865437158469946,0.7659033078880407,0.804013797428661,0.7889908256880734,0.7431884057971014,0.7181628392484343,0.8756830601092896,0.8753180661577609,7.775517463684082,7.775517463684082,0.8839681707230218,0.8104508196721312,0.8053435114503816,0.805331462644686,0.8025806451612904,0.8276856524873828,0.8141361256544503,0.7841530054644809,0.7913486005089059,0.0,7.775517463684082,0.8839681707230218,0.757172131147541,0.7315521628498728,0.7876978202448492,0.768893756845564,0.6997347480106101,0.675,0.9009562841530054,0.8931297709923665
qwen_2.5_7b_instruct,birth_years_4k,base,main,prompt_only,qwen_2.5_7b_instruct,birth_years_4k,base,main,prompt_only,22,1,7.01587438583374,7.01587438583374,0.8862923223844185,0.8105053191489362,0.8016997167138811,0.7948164146868251,0.7878787878787878,0.8665620094191523,0.8469055374592834,0.7340425531914894,0.7365439093484419,0.0,7.01587438583374,0.8862923223844185,0.7799202127659575,0.7960339943342776,0.7982937233394272,0.813953488372093,0.7367829021372329,0.7482185273159145,0.8710106382978723,0.8923512747875354,10.339062690734863,10.339062690734863,0.8862923223844185,0.8105053191489362,0.8016997167138811,0.7948164146868251,0.7878787878787878,0.8665620094191523,0.8469055374592834,0.7340425531914894,0.7365439093484419,0.0,10.339062690734863,0.8862923223844185,0.7450132978723404,0.7577903682719547,0.7795343489508479,0.7896678966789668,0.6865822784810126,0.6978260869565217,0.901595744680851,0.9093484419263456
qwen_2.5_7b_instruct,birth_years_4k,base,main,prompt_only,qwen_2.5_7b_instruct,birth_years_4k,base,main,prompt_only,22,2,4.501430034637451,4.501430034637451,0.8745864839319472,0.8132975151108126,0.7948369565217391,0.8093278463648834,0.7876230661040787,0.8269096005606167,0.8163265306122449,0.7924781732706514,0.7608695652173914,0.0,4.501430034637451,0.8745864839319472,0.7907991940899933,0.7690217391304348,0.8074188562596599,0.7869674185463659,0.7479954180985109,0.7302325581395349,0.8770987239758227,0.8532608695652174,6.571781635284424,6.571781635284424,0.8745864839319472,0.8132975151108126,0.7948369565217391,0.8093278463648834,0.7876230661040787,0.8269096005606167,0.8163265306122449,0.7924781732706514,0.7608695652173914,0.0,6.571781635284424,0.8745864839319472,0.7706514439220954,0.75,0.7955701885662975,0.7799043062200957,0.7176025917926566,0.6965811965811965,0.8925453324378778,0.8858695652173914
qwen_2.5_7b_instruct,birth_years_4k,base,main,prompt_only,qwen_2.5_7b_instruct,birth_years_4k,base,main,prompt_only,22,3,6.850723743438721,6.850723743438721,0.88582243818626,0.8072739632902787,0.810880829015544,0.7906976744186046,0.7943661971830986,0.8651050080775444,0.8703703703703703,0.7280761386811693,0.7305699481865285,0.0,6.850723743438721,0.88582243818626,0.7841604350781781,0.7953367875647669,0.8015004688965301,0.8091787439613527,0.7418981481481481,0.7579185520361991,0.8715159755268524,0.8678756476683938,9.264873504638672,9.264873504638672,0.88582243818626,0.8072739632902787,0.810880829015544,0.7906976744186046,0.7943661971830986,0.8651050080775444,0.8703703703703703,0.7280761386811693,0.7305699481865285,0.0,9.264873504638672,0.88582243818626,0.7596872875594833,0.7784974093264249,0.788133053640995,0.8018539976825029,0.7047159699892819,0.7253668763102725,0.893949694085656,0.8963730569948186
qwen_2.5_7b_instruct,birth_years_4k,base,main,prompt_only,qwen_2.5_7b_instruct,birth_years_4k,base,main,prompt_only,22,4,6.338505744934082,6.338505744934082,0.8796773611405346,0.808,0.8011204481792717,0.7939914163090128,0.7886904761904762,0.8564814814814815,0.8412698412698413,0.74,0.742296918767507,0.0,6.338505744934082,0.8796773611405346,0.7836666666666666,0.7787114845938375,0.8006144393241167,0.798469387755102,0.7424501424501424,0.7330210772833724,0.8686666666666667,0.876750700280112,8.351846694946289,8.351846694946289,0.8796773611405346,0.808,0.8011204481792717,0.7939914163090128,0.7886904761904762,0.8564814814814815,0.8412698412698413,0.74,0.742296918767507,0.0,8.351846694946289,0.8796773611405346,0.765,0.7591036414565826,0.7912348238081137,0.7866004962779156,0.7117741076185402,0.7060133630289532,0.8906666666666667,0.8879551820728291
qwen_2.5_7b_instruct,birth_years_4k,base,main,prompt_only,qwen_2.5_7b_instruct,cities_10k,base,main,prompt_only,22,0,4.96306037902832,4.96306037902832,0.8049953788423021,0.8104508196721312,0.5817790530846485,0.805331462644686,0.30677764565992865,0.8276856524873828,0.8958333333333334,0.7841530054644809,0.18507890961262555,0.0,4.96306037902832,0.8049953788423021,0.7865437158469946,0.6434720229555236,0.804013797428661,0.5093780848963475,0.7431884057971014,0.8164556962025317,0.8756830601092896,0.3701578192252511,7.775517463684082,7.775517463684082,0.8049953788423021,0.8104508196721312,0.5817790530846485,0.805331462644686,0.30677764565992865,0.8276856524873828,0.8958333333333334,0.7841530054644809,0.18507890961262555,0.0,7.775517463684082,0.8049953788423021,0.757172131147541,0.6771879483500718,0.7876978202448492,0.6038732394366197,0.6997347480106101,0.7813211845102506,0.9009562841530054,0.4921090387374462
qwen_2.5_7b_instruct,birth_years_4k,base,main,prompt_only,qwen_2.5_7b_instruct,cities_10k,base,main,prompt_only,22,1,7.01587438583374,7.01587438583374,0.7966412728110119,0.8105053191489362,0.5374832663989291,0.7948164146868251,0.15834348355663824,0.8665620094191523,0.8783783783783784,0.7340425531914894,0.08701472556894244,0.0,7.01587438583374,0.7966412728110119,0.7799202127659575,0.642570281124498,0.7982937233394272,0.4971751412429379,0.7367829021372329,0.8380952380952381,0.8710106382978723,0.3534136546184739,10.339062690734863,10.339062690734863,0.7966430648968027,0.8105053191489362,0.5374832663989291,0.7948164146868251,0.15834348355663824,0.8665620094191523,0.8783783783783784,0.7340425531914894,0.08701472556894244,0.0,10.339062690734863,0.7966430648968027,0.7450132978723404,0.6880856760374833,0.7795343489508479,0.6129568106312292,0.6865822784810126,0.8074398249452954,0.901595744680851,0.4939759036144578
qwen_2.5_7b_instruct,birth_years_4k,base,main,prompt_only,qwen_2.5_7b_instruct,cities_10k,base,main,prompt_only,22,2,4.501430034637451,4.501430034637451,0.7994745604461576,0.8132975151108126,0.5876840696117804,0.8093278463648834,0.33763440860215055,0.8269096005606167,0.8579234972677595,0.7924781732706514,0.2101740294511379,0.0,4.501430034637451,0.7994745604461576,0.7907991940899933,0.6566265060240963,0.8074188562596599,0.5431878895814782,0.7479954180985109,0.8111702127659575,0.8770987239758227,0.40829986613119146,6.571781635284424,6.571781635284424,0.7994763525319484,0.8132975151108126,0.5876840696117804,0.8093278463648834,0.33763440860215055,0.8269096005606167,0.8579234972677595,0.7924781732706514,0.2101740294511379,0.0,6.571781635284424,0.7994763525319484,0.7706514439220954,0.6820615796519411,0.7955701885662975,0.6084089035449299,0.7176025917926566,0.7918454935622318,0.8925453324378778,0.4939759036144578
qwen_2.5_7b_instruct,birth_years_4k,base,main,prompt_only,qwen_2.5_7b_instruct,cities_10k,base,main,prompt_only,22,3,6.850723743438721,6.850723743438721,0.7932905868039837,0.8072739632902787,0.5332446808510638,0.7906976744186046,0.162291169451074,0.8651050080775444,0.7906976744186046,0.7280761386811693,0.09042553191489362,0.0,6.850723743438721,0.7932905868039837,0.7841604350781781,0.6336436170212766,0.8015004688965301,0.49495875343721357,0.7418981481481481,0.7964601769911505,0.8715159755268524,0.35904255319148937,9.264873504638672,9.264873504638672,0.7932905868039837,0.8072739632902787,0.5332446808510638,0.7906976744186046,0.162291169451074,0.8651050080775444,0.7906976744186046,0.7280761386811693,0.09042553191489362,0.0,9.264873504638672,0.7932905868039837,0.7596872875594833,0.6582446808510638,0.788133053640995,0.5673400673400674,0.7047159699892819,0.7729357798165137,0.893949694085656,0.44813829787234044
qwen_2.5_7b_instruct,birth_years_4k,base,main,prompt_only,qwen_2.5_7b_instruct,cities_10k,base,main,prompt_only,22,4,6.338505744934082,6.338505744934082,0.7913548360147868,0.808,0.5441952506596306,0.7939914163090128,0.2029988465974625,0.8564814814814815,0.8073394495412844,0.74,0.11609498680738786,0.0,6.338505744934082,0.7913548360147868,0.7836666666666666,0.633245382585752,0.8006144393241167,0.505338078291815,0.7424501424501424,0.7759562841530054,0.8686666666666667,0.37467018469656993,8.351846694946289,8.351846694946289,0.7913548360147868,0.808,0.5441952506596306,0.7939914163090128,0.2029988465974625,0.8564814814814815,0.8073394495412844,0.74,0.11609498680738786,0.0,8.351846694946289,0.7913548360147868,0.765,0.6609498680738787,0.7912348238081137,0.5716666666666667,0.7117741076185402,0.7760180995475113,0.8906666666666667,0.4525065963060686
