model_id,train_dataset_ids,test_dataset_id,prompt_id,subset_id,input_type,layer,fold,direction_optimal_cut,direction_optimal_train_set_cut,direction_test_roc_auc,direction_accuracy_score,direction_f1_score,direction_precision_score,direction_recall_score,logistic_regression_optimal_cut,logistic_regression_optimal_train_set_cut,logistic_regression_test_roc_auc,logistic_regression_accuracy_score,logistic_regression_f1_score,logistic_regression_precision_score,logistic_regression_recall_score
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",football_leagues_1k,base,main,prompt_answer,0,0,-0.1048797741532325,-0.1048797741532325,0.4591368227731864,0.5,0.6373626373626373,0.5,0.8787878787878788,0.5,0.5129219230720579,0.5234159779614325,0.5151515151515151,0.4482758620689655,0.52,0.3939393939393939
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",medals_9k,base,main,prompt_answer,0,0,-0.1048797741532325,-0.1048797741532325,0.5800395447530865,0.5618055555555556,0.6367299942429476,0.543756145526057,0.7680555555555556,0.5,0.5129219230720579,0.7614438657407407,0.7104166666666667,0.7122153209109731,0.7078189300411523,0.7166666666666667
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",birth_years_4k,base,main,prompt_answer,0,0,-0.1048797741532325,-0.1048797741532325,0.5705388064109103,0.5518134715025906,0.5459317585301837,0.5531914893617021,0.538860103626943,0.5,0.5129219230720579,0.5833713656742463,0.5880829015544041,0.6054590570719603,0.580952380952381,0.6321243523316062
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",cities_10k,base,main,prompt_answer,0,0,-0.1048797741532325,-0.1048797741532325,0.6245115646258503,0.5895238095238096,0.6805040770941438,0.5570388349514563,0.8742857142857143,0.5,0.5129219230720579,0.6531936507936509,0.6047619047619047,0.6284691136974038,0.5929054054054054,0.6685714285714286
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",football_leagues_1k,base,main,prompt_answer,0,1,-0.0857659578323364,-0.0857659578323364,0.5013774104683195,0.5303030303030303,0.6352941176470588,0.5192307692307693,0.8181818181818182,0.5,0.524956391700563,0.5399449035812672,0.5151515151515151,0.5,0.5161290322580645,0.4848484848484848
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",medals_9k,base,main,prompt_answer,0,1,-0.0857659578323364,-0.0857659578323364,0.5472704475308642,0.55625,0.5885383129426915,0.5486194477791116,0.6347222222222222,0.5,0.524956391700563,0.745925925925926,0.6840277777777778,0.6881425633995888,0.6792963464140731,0.6972222222222222
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",birth_years_4k,base,main,prompt_answer,0,1,-0.0857659578323364,-0.0857659578323364,0.5186447958334452,0.5051813471502591,0.3737704918032787,0.5089285714285714,0.2953367875647668,0.5,0.524956391700563,0.5657064619184408,0.5544041450777202,0.558974358974359,0.5532994923857868,0.5647668393782384
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",cities_10k,base,main,prompt_answer,0,1,-0.0857659578323364,-0.0857659578323364,0.6433306122448978,0.5714285714285714,0.6218487394957983,0.556390977443609,0.7047619047619048,0.5,0.524956391700563,0.666467120181406,0.6247619047619047,0.64568345323741,0.6115843270868825,0.6838095238095238
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",football_leagues_1k,base,main,prompt_answer,0,2,-0.0626918151974678,-0.0626918151974678,0.6014692378328742,0.5303030303030303,0.6265060240963856,0.52,0.7878787878787878,0.5,0.5055751700686476,0.4389348025711661,0.4848484848484848,0.5277777777777778,0.4871794871794871,0.5757575757575758
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",medals_9k,base,main,prompt_answer,0,2,-0.0626918151974678,-0.0626918151974678,0.5456245274997547,0.5527045769764216,0.5873320537428023,0.5451306413301663,0.636615811373093,0.5,0.5055751700686476,0.7136143551585966,0.6560332871012483,0.6521739130434783,0.6595744680851063,0.6449375866851595
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",birth_years_4k,base,main,prompt_answer,0,2,-0.0626918151974678,-0.0626918151974678,0.5348599962415097,0.5207253886010362,0.4931506849315068,0.5232558139534884,0.466321243523316,0.5,0.5055751700686476,0.5769282396842869,0.5906735751295337,0.6146341463414634,0.5806451612903226,0.6528497409326425
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",cities_10k,base,main,prompt_answer,0,2,-0.0626918151974678,-0.0626918151974678,0.6843293238300395,0.6140684410646388,0.6058252427184466,0.6190476190476191,0.5931558935361216,0.5,0.5055751700686476,0.6516141624137981,0.6093155893536122,0.6089438629876308,0.6095238095238096,0.6083650190114068
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",football_leagues_1k,base,main,prompt_answer,0,3,-0.0829347446560859,-0.0829347446560859,0.5004591368227732,0.5606060606060606,0.6419753086419753,0.5416666666666666,0.7878787878787878,0.5,0.4898372887673013,0.4370982552800735,0.4242424242424242,0.4722222222222222,0.4358974358974359,0.5151515151515151
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",medals_9k,base,main,prompt_answer,0,3,-0.0829347446560859,-0.0829347446560859,0.5552604166666667,0.5534722222222223,0.6013639181649101,0.5431131019036954,0.6736111111111112,0.5,0.4898372887673013,0.7071402391975308,0.6652777777777777,0.672108843537415,0.6586666666666666,0.6861111111111111
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",birth_years_4k,base,main,prompt_answer,0,3,-0.0829347446560859,-0.0829347446560859,0.5959891540712502,0.5854922279792746,0.553072625698324,0.6,0.5129533678756477,0.5,0.4898372887673013,0.6180837069451529,0.6062176165803109,0.6142131979695431,0.6019900497512438,0.6269430051813472
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",cities_10k,base,main,prompt_answer,0,3,-0.0829347446560859,-0.0829347446560859,0.6605950113378685,0.5904761904761905,0.6076642335766423,0.5831873905429071,0.6342857142857142,0.5,0.4898372887673013,0.6767582766439909,0.6352380952380953,0.6341929321872015,0.6360153256704981,0.6323809523809524
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",football_leagues_1k,base,main,prompt_answer,0,4,-0.0526231676340103,-0.0526231676340103,0.5234159779614325,0.5151515151515151,0.5675675675675675,0.5121951219512195,0.6363636363636364,0.5,0.5065303349069827,0.5004591368227731,0.5,0.547945205479452,0.5,0.6060606060606061
