model_id,train_dataset_ids,test_dataset_id,prompt_id,subset_id,input_type,layer,fold,direction_optimal_cut,direction_optimal_train_set_cut,direction_test_roc_auc,direction_accuracy_score,direction_f1_score,direction_precision_score,direction_recall_score,logistic_regression_optimal_cut,logistic_regression_optimal_train_set_cut,logistic_regression_test_roc_auc,logistic_regression_accuracy_score,logistic_regression_f1_score,logistic_regression_precision_score,logistic_regression_recall_score
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",football_leagues_1k,base,main,prompt_answer,0,0,-0.03967423364520073,-0.03967423364520073,0.6730945821854912,0.5909090909090909,0.6197183098591549,0.5789473684210527,0.6666666666666666,0.5,0.5096697716427618,0.46189164370982555,0.5606060606060606,0.5797101449275363,0.5555555555555556,0.6060606060606061
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",medals_9k,base,main,prompt_answer,0,0,-0.03967423364520073,-0.03967423364520073,0.576447723765432,0.5708333333333333,0.639018691588785,0.5514112903225806,0.7597222222222222,0.5,0.5096697716427618,0.7492611882716048,0.6923611111111111,0.6815240833932422,0.706408345752608,0.6583333333333333
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",birth_years_4k,base,main,prompt_answer,0,0,-0.03967423364520073,-0.03967423364520073,0.5616392386372788,0.5492227979274611,0.618421052631579,0.5361216730038023,0.7305699481865285,0.5,0.5096697716427618,0.6399097962361406,0.5984455958549223,0.6134663341645885,0.5913461538461539,0.6373056994818653
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",cities_10k,base,main,prompt_answer,0,0,-0.03967423364520073,-0.03967423364520073,0.6640235827664399,0.6114285714285714,0.6628099173553719,0.5854014598540146,0.7638095238095238,0.5,0.5096697716427618,0.6745687074829931,0.6238095238095238,0.6425339366515838,0.6120689655172413,0.6761904761904762
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",football_leagues_1k,base,main,prompt_answer,0,1,-0.07295782119035721,-0.07295782119035721,0.5068870523415978,0.48484848484848486,0.6222222222222222,0.49122807017543857,0.8484848484848485,0.5,0.5235877827520852,0.45179063360881544,0.4696969696969697,0.38596491228070173,0.4583333333333333,0.3333333333333333
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",medals_9k,base,main,prompt_answer,0,1,-0.07295782119035721,-0.07295782119035721,0.5652015817901235,0.5430555555555555,0.6496272630457934,0.5267702936096719,0.8472222222222222,0.5,0.5235877827520852,0.7376118827160494,0.68125,0.6728439059158945,0.6910688140556369,0.6555555555555556
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",birth_years_4k,base,main,prompt_answer,0,1,-0.07295782119035721,-0.07295782119035721,0.5370345512631212,0.5233160621761658,0.5874439461883408,0.5177865612648221,0.6787564766839378,0.5,0.5235877827520852,0.6062981556551853,0.5854922279792746,0.5854922279792746,0.5854922279792746,0.5854922279792746
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",cities_10k,base,main,prompt_answer,0,1,-0.07295782119035721,-0.07295782119035721,0.6487002267573696,0.6171428571428571,0.6839622641509434,0.5823293172690763,0.8285714285714286,0.5,0.5235877827520852,0.6774947845804989,0.6419047619047619,0.6654804270462633,0.6243739565943238,0.7123809523809523
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",football_leagues_1k,base,main,prompt_answer,0,2,-0.09079685062170029,-0.09079685062170029,0.5684113865932048,0.5,0.6206896551724138,0.5,0.8181818181818182,0.5,0.5059766008993758,0.4370982552800734,0.48484848484848486,0.46875,0.4838709677419355,0.45454545454545453
llama3.1_8b_chat,"['medals_9k', 'birth_years_4k', 'cities_10k']",medals_9k,base,main,prompt_answer,0,2,-0.09079685062170029,-0.09079685062170029,0.5842334483043854,0.5672676837725381,0.6670224119530416,0.5420641803989592,0.8668515950069348,0.5,0.5059766008993758,0.7401080330331774,0.6955617198335645,0.6910626319493315,0.7014285714285714,0.680998613037448
